"","6079","","Witnessing AIDS: Writing, Testimony, and the Work of Mourning","Sarah S. Brophy","","Nonfiction","","","3.5","2","2022/03/25"
"","6080","","Writing Grief: Margaret Laurence and the Work of Mourning","Christian Riegel","","","","","4.0","1","2022/03/25"
"","6081","","Works Of Mourning: Poetische Trauerarbeit, Selbstreflexion Und Kritisches Traditionsbewusstsein In Modernen Englischen Elegien","Andreas Jäger","","","","","0.0","0","2022/03/25"
"","6082","Lady Diana Cooper's Autobiography","Diana Cooper: Autobiography; The Rainbow Comes and Goes; The Lights of Common Day; Trumpets from the Steep","Lady Diana Cooper","1985","Autobiography","Memoir","Nonfiction","4.13","46","2022/03/25"
"","6083","","A Little Light on Angels","Diana Cooper","1996","Spirituality","Paranormal","Angels","4.21","136","2022/03/25"
"","6084","","Atlantis Cards","Diana Cooper","2005","","","","4.27","22","2022/03/25"
"","6085","","","","","","","","","","2022/03/25"
"","6086","","Transform Your Life","Diana Cooper","1993","Spirituality","","","3.95","20","2022/03/25"
"","6087","","Discover Atlantis","Diana Cooper","2005","Spirituality","Nonfiction","Philosophy","4.1","230","2022/03/25"
"","6088","","Diana Cooper: A Biography","Philip Ziegler","","Biography","History","Nonfiction","3.65","74","2022/03/25"
"","6089","","Transform Your Life: A step-by-step programme for change","Diana Cooper","1993","Spirituality","","","3.95","20","2022/03/25"
"","6090","Christmas Crackers","The Illustrated Christmas Cracker","John Julius Norwich","1980","Holiday","Christmas","Humor","3.67","36","2022/03/25"
"","6091","","Tom Smith's Christmas Crackers: An Illustrated History","Peter Kimpton","","","","","3.0","1","2022/03/25"
"","6092","","Christmas Crackers For Cats","Julie Hope","","","","","3.0","3","2022/03/25"
"","6093","","A Christmas Cracker: A Detective Novel","David Shepherd","","","","","3.0","1","2022/03/25"
"","6094","","James Barclay's Scottish Christmas Crackers.","James Barclay","1996","","","","3.0","1","2022/03/25"
"","6095","Christmas Crackers","The Illustrated Christmas Cracker","John Julius Norwich","1980","Holiday","Christmas","Humor","3.67","36","2022/03/25"
"","6096","","More Christmas Crackers: Being Ten Commonplace Selections 1980-89","John Julius Norwich","1990","","","","4.64","11","2022/03/25"
"","6097","","Art Attack Christmas Cracker.","Neil Buchanan","","","","","0.0","0","2022/03/25"
"","6098","","Christmas Cracker","Steve Chalke","","","","","0.0","0","2022/03/25"
"","6099","Glitter Girls","Christmas Crackers","Caroline Plaisted","","","","","3.5","10","2022/03/25"
"","6100","","Wallace & Gromit's Christmas Crackers","Aardman Animation","2002","","","","4.5","4","2022/03/25"
"","6101","","A Cracker Full of Christmas Stories","Pat Thomson","1995","","","","2.33","3","2022/03/25"
"","6102","","The Middle Sea: A History of the Mediterranean","John Julius Norwich","2006","History","Nonfiction","History","3.87","965","2022/03/25"
"","6103","A History of Byzantium","Byzantium: The Early Centuries","John Julius Norwich","1988","History","Nonfiction","History","4.32","1605","2022/03/25"
"","6104","A History of Byzantium","Byzantium (Vol. 3): The Decline and Fall","John Julius Norwich","1995","History","Nonfiction","History","4.42","960","2022/03/25"
"","6105","A History of Byzantium","Byzantium: The Apogee","John Julius Norwich","1991","History","Nonfiction","History","4.4","1077","2022/03/25"
"","6106","","A Short History of Byzantium","John Julius Norwich","1997","History","Nonfiction","Historical","4.09","2224","2022/03/25"
"","6107","","The Middle Sea: A History of the Mediterranean","John Julius Norwich","","History","Nonfiction","History","3.87","965","2022/03/25"
"","6108","A History of Byzantium","Byzantium: The Decline and Fall","John Julius Norwich","1995","History","Nonfiction","History","4.42","960","2022/03/25"
"","6109","","A History of Venice","John Julius Norwich","1977","History","Nonfiction","Cultural","4.19","1770","2022/03/25"
"","6110","The Normans in Sicily","The Normans in Sicily: The Normans in the South 1016-1130 and the Kingdom in the Sun 1130-1194","John Julius Norwich","1970","History","Cultural","Italy","4.33","298","2022/03/25"
"","6111","","Siddhartha","Hermann Hesse","1922","Classics","Fiction","Philosophy","4.05","663581","2022/03/25"
"","6112","","Siddhartha","Hermann Hesse","1922","Classics","Fiction","Philosophy","4.05","663581","2022/03/25"
"","6113","","Prince Siddhartha: The Story of Buddha","Jonathan Landaw","1979","Childrens","Religion","Buddhism","4.18","178","2022/03/25"
"","6114","","Siddhartha (Shambhala Library)","Hermann Hesse","1922","Classics","Fiction","Philosophy","4.05","663581","2022/03/25"
"","6115","","Siddhartha","Hermann Hesse","1922","Classics","Fiction","Philosophy","4.05","663581","2022/03/25"
