"2082","","Index To The Dennett Quartet: A Boxed Set Of Brainstorms, Elbow Room, The Intentional Stance [And] Brainchildren","Daniel C. Dennett","1998","Philosophy","","","3.33","3","2022/03/20"
"2083","","Out-of-Body Exploring: A Beginner's Approach","Preston Dennett","2004","","","","3.63","19","2022/03/20"
"2084","","Workers, Neighbors, and Citizens: The Revolution in Mexico City","John Lear","2001","History","","","4.0","10","2022/03/20"
"2085","","John Lear (Scene ouverte) (French Edition)","Michel Deutsch","1996","","","","0.0","0","2022/03/20"
"2086","","The Nonsense Verse Of Edward Lear","Edward Lear","","Poetry","","","3.82","28","2022/03/20"
"2087","","Recombinant DNA: The Untold Story","John Lear","","","","","4.0","2","2022/03/20"
"2088","","Kepler's Dream: With the Full Text & Notes of Somnium Sive Astronomia Lunaris, Joannis Kepleri","Johannes Kepler","1634","Science Fiction","Fiction","Classics","3.55","256","2022/03/20"
"2089","","The Powerlifter's Manual","John Lear","","","","","0.0","0","2022/03/20"
"2090","","Weight Lifting","John Lear","1980","","","","4.0","1","2022/03/20"
"2091","The Routledge Philosophers","Freud","Jonathan Lear","2005","Philosophy","Psychology","Psychology","4.04","265","2022/03/20"
"2092","The Tanner Lectures on Human Values","Happiness, Death, and the Remainder of Life","Jonathan Lear","2000","Philosophy","Psychology","Psychoanalysis","3.82","68","2022/03/20"
"2093","","The Illustrated A Brief History of Time","Stephen Hawking","1988","Science","Nonfiction","Science","4.2","368054","2022/03/20"
"2094","","A Briefer History of Time","Stephen Hawking","1988","Science","Nonfiction","Science","4.24","34201","2022/03/20"
"2095","","The Universe in a Nutshell","Stephen Hawking","2001","Science","Nonfiction","Science","4.17","38500","2022/03/20"
"2096","","God Created the Integers: The Mathematical Breakthroughs That Changed History","Stephen Hawking","","Science","Science","Mathematics","4.07","1923","2022/03/20"
"2097","","The Illustrated On The Shoulders of Giants","Stephen Hawking","2002","Science","Nonfiction","Science","4.2","4933","2022/03/20"
"2098","","Introducing Stephen Hawking","J.P. McEvoy","1991","Science","Nonfiction","Biography","3.81","633","2022/03/20"
"2099","","Stephen Hawking's Universe: The Cosmos Explained","David Filkin","1997","Science","Nonfiction","Science","4.31","1855","2022/03/20"
"2100","","The Future of Spacetime","Stephen Hawking","2002","Science","Science","Physics","3.93","381","2022/03/20"
"2101","","Galileo, Darwin, and Hawking: The Interplay of Science, Reason, and Religion","Phil Dowe","2005","Philosophy","","","3.73","15","2022/03/20"
"2102","","Stephen Hawking's Universe","John Boslough","1984","Science","Nonfiction","Science","4.02","765","2022/03/20"
"2103","","The Nature of Space and Time","Stephen Hawking","1996","Science","Science","Physics","4.1","1273","2022/03/20"
"2104","The Physics of Star Trek and Beyond","The Physics of Star Trek","Lawrence M. Krauss","1995","Science","Nonfiction","Media Tie In","3.84","5852","2022/03/20"
"2105","","God, Time, & Stephen Hawking","David Wilkinson","2001","Philosophy","Science","Science","3.78","18","2022/03/20"
"2106","","What's Out There: Images from Here to the Edge of the Universe","Mary K. Baumann","2005","Science","Science","Astronomy","4.43","67","2022/03/20"
"2107","","Falconry & Hawking","Phillip Glasier","1978","Nonfiction","","","4.3","76","2022/03/20"
"2108","","The Modern Falconer: Training, Hawking & Breeding","Diana Durman-Walters","","","","","2.75","4","2022/03/20"
"2109","","The World Treasury of Physics, Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike","Timothy Ferris","1991","Science","Science","Physics","4.12","481","2022/03/20"
"2110","","Stephen Hawking: A Life in Science","Michael White","1992","Science","Biography","Nonfiction","3.8","537","2022/03/20"
"2111","","The Theory of Everything: The Origin and Fate of the Universe","Stephen Hawking","2002","Science","Nonfiction","Science","4.18","20137","2022/03/20"
"2112","","The Art of Nonfiction: A Guide for Writers and Readers","Ayn Rand","2001","Language","Writing","Nonfiction","3.95","487","2022/03/20"
"2113","","The Journals of Ayn Rand","Ayn Rand","1997","Philosophy","Nonfiction","Biography","3.95","339","2022/03/20"
"2114","","Anthem","Ayn Rand","1938","Fiction","Classics","Science Fiction","3.63","141536","2022/03/20"
"2115","","Atlas Shrugged & The Fountainhead","Ayn Rand","1995","Fiction","Classics","Philosophy","4.1","4700","2022/03/20"
"2116","","Essays on Ayn Rand's The Fountainhead","Robert Mayhew","2006","Philosophy","Criticism","Nonfiction","4.07","70","2022/03/20"
"2117","","The Fountainhead (Cliffs Notes)","Andrew Bernstein","2000","Philosophy","Fiction","Reference","3.8","50","2022/03/20"
"2118","","The Fountainheads: Wright, Rand, the FBI and Hollywood","Donald Leslie Johnson","","","","","3.8","5","2022/03/20"
"2119","","Fountainhead of Chinese Erotica","Charles R. Stone","","Adult Fiction","Erotica","Cultural","4.0","7","2022/03/20"
"2120","","From the Fountainhead to the Future: And Other Essays on Art and Excellence","Alexandra York","2000","","","","3.14","7","2022/03/20"
"2121","","The Fountainhead: An American Novel","Douglas J. Den Uyl","","","","","3.67","3","2022/03/20"
"2122","","The Fountainhead","Ayn Rand","1943","Fiction","Classics","Philosophy","3.88","308673","2022/03/20"
"2123","","The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease, Related Dementing Illnesses, and Memory Loss in Later Life","Nancy L. Mace","1981","Nonfiction","Health","Self Help","4.26","3328","2022/03/20"
